RegionID,RegionName,City,State,Metro,CountyName,SizeRank,2019-04
403308,Park West,Chicago,IL,Chicago-Naperville-Elgin,Cook County,1222,1702
276349,Grand Crossing,Chicago,IL,Chicago-Naperville-Elgin,Cook County,1236,1322
403301,Old Town,Chicago,IL,Chicago-Naperville-Elgin,Cook County,1240,1845
269602,Norwood Park East,Chicago,IL,Chicago-Naperville-Elgin,Cook County,1241,1994
275927,Washington Park,Chicago,IL,Chicago-Naperville-Elgin,Cook County,1270,1382
269579,Edison Park,Chicago,IL,Chicago-Naperville-Elgin,Cook County,1271,2095
33420,Pilsen,Chicago,IL,Chicago-Naperville-Elgin,Cook County,1286,1812
403292,Roscoe Village,Chicago,IL,Chicago-Naperville-Elgin,Cook County,1293,2024
403306,Sheffield Neighbors,Chicago,IL,Chicago-Naperville-Elgin,Cook County,1302,2394
403307,Wrightwood Neighbors,Chicago,IL,Chicago-Naperville-Elgin,Cook County,1378,2252
403151,Wrightwood,Chicago,IL,Chicago-Naperville-Elgin,Cook County,1433,1574
403262,Budlong Woods,Chicago,IL,Chicago-Naperville-Elgin,Cook County,1453,1540
137634,Burnside,Chicago,IL,Chicago-Naperville-Elgin,Cook County,1597,1404
403377,Fernwood,Chicago,IL,Chicago-Naperville-Elgin,Cook County,1614,1381
403310,Noble Square,Chicago,IL,Chicago-Naperville-Elgin,Cook County,1650,2189
403379,Rosemoor,Chicago,IL,Chicago-Naperville-Elgin,Cook County,1676,1446
274178,Kenwood,Chicago,IL,Chicago-Naperville-Elgin,Cook County,1789,1537
403376,Longwood Manor,Chicago,IL,Chicago-Naperville-Elgin,Cook County,1809,1456
403284,Schorsch Village,Chicago,IL,Chicago-Naperville-Elgin,Cook County,1821,1912
403286,Mayfair,Chicago,IL,Chicago-Naperville-Elgin,Cook County,1844,1893
403271,North Mayfair,Chicago,IL,Chicago-Naperville-Elgin,Cook County,1870,1984
403353,West Woodlawn,Chicago,IL,Chicago-Naperville-Elgin,Cook County,1933,1299
140292,Sauganash,Chicago,IL,Chicago-Naperville-Elgin,Cook County,1940,2338
403311,East Ukrainian Village,Chicago,IL,Chicago-Naperville-Elgin,Cook County,1981,2259
138129,Dunning,Chicago,IL,Chicago-Naperville-Elgin,Cook County,2028,1741
403304,Old Town Triangle,Chicago,IL,Chicago-Naperville-Elgin,Cook County,2049,1950
403268,Hollywood Park,Chicago,IL,Chicago-Naperville-Elgin,Cook County,2061,1847
403287,Kilbourn Park,Chicago,IL,Chicago-Naperville-Elgin,Cook County,2136,1773
403276,Norwood Park West,Chicago,IL,Chicago-Naperville-Elgin,Cook County,2173,2032
403322,West Loop Gate,Chicago,IL,Chicago-Naperville-Elgin,Cook County,2201,1928
403360,East Chatham,Chicago,IL,Chicago-Naperville-Elgin,Cook County,2227,1219
138732,Hegewisch,Chicago,IL,Chicago-Naperville-Elgin,Cook County,2255,1367
403342,New Eastside,Chicago,IL,Chicago-Naperville-Elgin,Cook County,2270,1946
276477,North Park,Chicago,IL,Chicago-Naperville-Elgin,Cook County,2383,1907
403300,River North,Chicago,IL,Chicago-Naperville-Elgin,Cook County,2433,1970
403312,Ukrainian Village,Chicago,IL,Chicago-Naperville-Elgin,Cook County,2470,1882
403340,Canaryville,Chicago,IL,Chicago-Naperville-Elgin,Cook County,2540,1630
403321,Tri-Taylor,Chicago,IL,Chicago-Naperville-Elgin,Cook County,2543,1700
403255,Arcadia Terrace,Chicago,IL,Chicago-Naperville-Elgin,Cook County,2786,1709
403352,East Hyde Park,Chicago,IL,Chicago-Naperville-Elgin,Cook County,2820,1523
403313,Fulton River District,Chicago,IL,Chicago-Naperville-Elgin,Cook County,2826,1962
403281,Irving Woods,Chicago,IL,Chicago-Naperville-Elgin,Cook County,2864,1861
403278,Union Ridge,Chicago,IL,Chicago-Naperville-Elgin,Cook County,2911,1918
269610,Washington Heights,Chicago,IL,Chicago-Naperville-Elgin,Cook County,2928,1439
403279,Big Oaks,Chicago,IL,Chicago-Naperville-Elgin,Cook County,3003,1984
51847,Edgebrook,Chicago,IL,Chicago-Naperville-Elgin,Cook County,3029,2431
140440,South Deering,Chicago,IL,Chicago-Naperville-Elgin,Cook County,3033,1360
269591,Lincoln Square,Chicago,IL,Chicago-Naperville-Elgin,Cook County,3046,1733
403315,Kelvin Park,Chicago,IL,Chicago-Naperville-Elgin,Cook County,3074,1801
403357,West Chatham,Chicago,IL,Chicago-Naperville-Elgin,Cook County,3207,1424
403296,Lathrop Homes,Chicago,IL,Chicago-Naperville-Elgin,Cook County,3220,2110
403361,West Chesterfield,Chicago,IL,Chicago-Naperville-Elgin,Cook County,3264,1470
403375,East Beverly,Chicago,IL,Chicago-Naperville-Elgin,Cook County,3332,1718
403374,West Beverly,Chicago,IL,Chicago-Naperville-Elgin,Cook County,3348,1851
403298,Goose Island,Chicago,IL,Chicago-Naperville-Elgin,Cook County,3451,2055
403263,Bowmanville,Chicago,IL,Chicago-Naperville-Elgin,Cook County,3456,1928
403168,Oriole Park,Chicago,IL,Chicago-Naperville-Elgin,Cook County,3477,2013
403305,Ranch Triangle,Chicago,IL,Chicago-Naperville-Elgin,Cook County,3573,2511
403294,Wrigleyville,Chicago,IL,Chicago-Naperville-Elgin,Cook County,3598,2040
403351,North Kenwood,Chicago,IL,Chicago-Naperville-Elgin,Cook County,3640,1672
